,Name,Link,City,State
0,Alabama Mineral & Lapidary Society,http://www.lapidaryclub.com/,Birmingham,Alabama 
1,Dothan Gem & Mineral Club,http://www.wiregrassrockhounds.com/,Dothan,Alabama 
2,Huntsville Gem and Mineral Society,http://huntsvillegms.org/,Huntsville,Alabama 
3,Mobile Rock & Gem Society,http://www.mobilerockandgem.com/,Mobile,Alabama 
4,Montgomery Gem & Mineral Society,http://montgomerygemandmineralsociety.com/mgms/,Montgomery,Alabama 
5,Chugach Gem & Mineral Society,http://www.chugachgemandmineralsociety.com/,Anchorage,Alaska 
6,Mat-Su Rock and Mineral Club,http://matsurockclub.com/,Palmer,Alaska 
7,Apache Junction Rock and Gem Club,http://www.ajrockclub.com/,Apache Junction,Arizona 
8,Black Canyon City Rock Club,http://www.bccrockclub.mysite.com/,Black Canyon City,Arizona 
9,Daisy Mountain Rock & Mineral Club,http://www.dmrmc.com/,Anthem,Arizona 
10,Gila County Gem & Mineral Society,http://gilagem.org/,Miami,Arizona 
11,Huachuca Mineral and Gem Club,http://www.huachucamineralandgemclub.info/,Sierra Vista,Arizona 
12,Lake Havasu Gem & Mineral Society,http://www.lakehavasugms.org/,Lake Havasu City,Arizona 
13,Mineralogical Society of Arizona,http://www.msaaz.org/,Scottsdale,Arizona 
14,Mingus Gem & Mineral Club,http://www.mingusclub.org/,Cottonwood,Arizona 
15,Mohave County Gemstoners,http://www.gemstoners.org/,Kingman,Arizona 
16,Old Pueblo Lapidary Club,http://www.lapidaryclub.org/,Tucson,Arizona 
17,Pinal Gem and Mineral Society,https://www.pinalgeologymuseum.org/index.php/pinal-gem-mineral-society/about-pgms,Coolidge,Arizona 
18,Prescott Gem & Mineral Club,http://www.prescottgemmineral.org/,Prescott Valley,Arizona 
19,Quartzsite Roadrunners Gem & Mineral Club,http://www.qrgmc.org/,Quartzsite,Arizona 
20,Rockhounds West,http://rockhounds.scwclubs.com/,Phoenix,Arizona 
21,Sedona Gem & Mineral Club,http://www.sedonagemandmineral.org/,Sedona,Arizona 
22,Silvery Colorado River Rock Club,http://scrrc.blogspot.com/,Bullhead City,Arizona 
23,Sunsites Gem and Mineral Club,https://sites.google.com/site/cochisecountyrock/,Pearce,Arizona 
24,Tucson Gem and Mineral Society,http://www.tgms.org/,Tucson,Arizona 
25,Verde River Rockhounds,http://www.verderiverrockhounds.com/,Cottonwood,Arizona 
26,West Valley Rock & Mineral Club,http://www.westvalleyrockandmineralclub.com/,Buckeye,Arizona 
27,White Mountain Gem & Mineral Club,http://whitemountain-azrockclub.org/,Show Low,Arizona 
28,Wickenburg Gem and Mineral Society,http://www.wickenburggms.org/,Wickenburg,Arizona 
29,"Central Arkansas Gem, Mineral and Geology Society",http://www.centralarrockhound.org/,Little Rock,Arkansas 
30,Northwest Arkansas Gem & Mineral Society,http://www.nwarockhounds.org/,Siloam Springs,Arkansas 
31,"Ozark Earth Science Gem, Mineral & Fossil Club",https://www.ozarkearthscience.com/,Mountain Home,Arkansas 
32,Amador County Gem & Mineral Society,http://www.amadorgemandmineral.org/,Sutter Creek,California 
33,American Opal Society,http://www.opalsociety.org/,Anaheim,California 
34,Antelope Valley Gem and Mineral Club,http://avgem.weebly.com/,Lancaster,California 
35,Antioch Lapidary Club,http://www.antiochlapidaryclub.com/,Antioch,California 
36,Borrego Rock and Gem Club,http://www.abdnha.org/bragclub.html,Borrego Springs,California 
37,Calaveras Gem & Mineral Society,http://www.calaverasgemandmineral.org/,Angels Camp,California 
38,Carmel Valley Gem and Mineral Society,http://www.cvgms.rocks/,Pacific Grove,California 
39,Central Coast Treasure Hunters Association,http://www.cctha.org/,San Luis Obispo,California 
40,Coalinga Rockhound Society,https://sites.google.com/site/coalingarockhounds/,Coalinga,California 
41,Conejo Gem & Mineral Club,http://www.cgamc.org/,Thousand Oaks,California 
42,Contra Costa Mineral & Gem Society,http://www.ccmgs.org/,Concord,California 
